Organization,Program,Program Division,Program Branch,BU,Business Unit,DeptID,Department,Position,Title,Job Code,Classification,Direct Reports,Indirect Reports,City,Position Status,Reg Temp,Full or Part-Tme,Budgeted Position,Supervisor Position,Supervisor Name,Empty,Vacant,True Vacancy,Future Vacancy,Months Last Filled,Last Filled By Base Incumbent,Months Last Filled  By Base Incumbent,Employee DeptID,Empl ID,Empl Status,Appt Status,Age,Employee Jobcode,Employee  Classification,Grade,Step,Salary type,Type,Standard Hours,Base,Position Jobcode Max Annual Rate,Employee Jobcode Max Annual Rate,Annual Rate,ABBR,Salary Admin Plan,AMA,AMA Limit Date,CAD,CAD Limit Date,SPP,SPP Limit Date,TAJ,TAJ Limit Date,Future Termination Date,Future Termination Reason,TA Status,TA Start Date,TA Return Date,TA Return BU,TA Return DeptID,TA Return Jobcode,TA Return Gate,TA Return Position,TA Return Supervisor,TA Return ABBR,Leave Reason,Leave Start Date,Leave Return Date
Municipal Affairs,Immigration Services & Strategic Planning,Community Gaming Grants,,BC060,Municipal Affairs,060-1442,Community Gaming Grants,551105,Program Analyst,1000000,CLK 15R,,6,Ashcroft,Approved,T,F,Y,16488294,"Shayaan,Corran",Y,Y,,,103,Y,187,,,73995,73995,73995,73995,GEU,,,,,,,,,2020-10-29,Layoff (With Recall),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citizens Services,Service BC,Strategic Services,CS - SBC- Lean BC,BC112,Citizens' Services,112-5230,CS - SBC- Lean BC,553105,Branch Operations Coordinator,1000000,CLK ST 15R,,,Invermere,Proposed,T,F,Y,81604224,"Macallum,Zakary",,,,,,,,,,59949,59949,59949,59949,QP,,,,,,,,,2015-10-14,Retired,,,380999,Leave W/Py,Auxilliary more than 1827,35,553105,XML Editor,B1,5,Classification Adjustment,35,B,112-5230,,,,,,,,,,,,,,
"Jobs, Economic Development and Innovation",Trade and Industry Development,Trade Policy & Negotiations Branch,Trade Policy & Negotiations,BC125,"Jobs, Econom Dev & Innovation",125-5540,Trade Policy & Negotiations,551104,Senior Customer Service Rep,1000000,CLK 12R,4,,Fort St James,Frozen,R,P,N,15062303,"Burak,Toluwalase",Y,Y,Y,,44,,,,,57083,57083,57083,57083,MGT,,,,,,,,,2015-05-15,Redundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citizens Services,Procurement & Supply,Supply Services,SS-PSD-BC Mail ID Card Prod,BC067,Product Services,067-5175,SS-PSD-BC Mail ID Card Prod,185003,"Dir, Contract Tech Stewardship",1000000,Band 3,,4,Burnaby,Approved,R,F,N,82713255,"Aled,Darrel",,,,Y,,,,,Int In,97908,97908,97908,97908,PEA,,,,,,,,,2015-08-30,Redundant,,,737270,Leave,Regular,23,185003,Band 4,M1,5,Temporary Market Adjustment,35,,067-5175,,,,,,,,,,,,,,
Citizens Services,Procurement & Supply,Supply Services,SS-PSD-Dist Centre Victoria,BC067,Product Services,067-7805,SS-PSD-Dist Centre Victoria,185004,"Dir, Digital Investment",1000000,Band 4,,3,Powell River,Frozen,T,F,Y,08131165,"Jostelle,Alphonse",,,Y,,,,,,,,,,,,,,,,,,,,2012-02-10,Retired,,,566232,Leave,Regular,65,185004,BMS2,15A,2,Underimplemented,35,B,067-7805,,Ext Out,2015-03-07,2022-01-14,185004,15A,92005653,"Kealon,Cailean",118702,BC067,067-7805,,,
Citizens Services,OCIO Corporate Information & Records Mgmt Office,CIRMO-Government Records Service,SS-CIRMO-Records Management Op,BC112,Citizens' Services,112-0105,SS-CIRMO-Records Management Op,551504,Web Content Strategist,1000000,ADMN O 21R,7,,Daajing Giids,Proposed,T,P,Y,33114872,"Connal,Exodi",,,Y,Y,,,,,,96730,96730,96730,96730,MGT,,,,,,,,,2015-12-21,Resignation,,,288288,Leave,Auxilliary less than 1827,20,551504,COMM O 21R,09A,1,Underimplemented,35,,112-0105,,,,,,,,,,,,,,
Citizens Services,Procurement & Supply,Procurement Services,SS-PSD-Procurement Svcs,BC067,Product Services,067-5106,SS-PSD-Procurement Svcs,183002,Regional Director,1000000,BUS LEAD,2,,Surrey,Approved,R,F,N,58774438,"Reiss,Abdisalam",Y,Y,,Y,174,,,,,71500,71500,71500,71500,QP,,,,,,,,,2015-01-01,Job Ends/End of Recall Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citizens Services,Office of the Government Chief Information Officer,Financial Advisory & Decision Support Services,CS-OCIO - Finance,BC112,Citizens' Services,112-0070,CS-OCIO - Finance,551501,Integration Assistant,1000000,ADMN O 15R,11,,Smithers,Approved,R,P,N,04589188,"Raithin,Benjamyn",,,Y,Y,,,,,,72870,72870,72870,72870,PEA,,,,,,,,,2012-02-05,Retired,,,953198,Active,Auxilliary less than 1827,54,551501,CLK ST 15R,S12,2,Standard,35,,112-0070,,,,,,,,,,,,,,
Citizens Services,Service BC,Service Delivery,"CS-SBC - SDOps VI/SC, Court",BC112,Citizens' Services,112-3555,"CS-SBC - SDOps VI/SC, Court",185003,Sr. Product Mgr Chapter Lead,1000000,Band 3,,11,Merritt,Frozen,T,F,N,17681820,"Matthias,Jayke",Y,Y,Y,,140,Y,43,,,59938,59938,59938,59938,MGT,,,,,,,,,2014-02-12,Redundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citizens Services,OCIO Enterprise Services,Device Services,OES Corp Software Branch,BC112,Citizens' Services,112-5107,OES Corp Software Branch,551505,Procurement & Contract Spec,1000000,ADMN O 24R,15,11,Victoria,Approved,T,P,Y,18135337,"Thumbiko,Nabeel",Y,Y,,,150,,,,Ext In,102172,,,,GEU,,,,,,,,,2020-04-23,Redundant,,,,,,,,,,,,,,,,Int Out,2014-06-17,2022-01-08,551505,,31566638,"Haydn,Farhaan",57238,BC112,112-5107,Severance,2014-04-23,2020-04-04
